"Promoter Name"	"Absolute-Plus-1-Position"	"Promoters - genes downstream of promoter"	"Transcription-Direction"	"Promoters - transcription units of promoter"	"Transcription units - pathways"
PM0-10064	1928865	EG11004		TU0-13435	""
PM0-46025	4391584	""	+	""	""
PM0-2701	841648	G6414		TU0-2521	""
PM0-8224	21120	EG10919		TU0-7844	""
PM0-44548	635555	""	-	""	""
PM0-9861		G6500		TU0-13102	""
PM0-44912	1491647	""	+	""	""
PM00398	2093360	EG10451 // EG10448 // EG10444 // EG10450 // EG10445		TU0-6650	""
PM0-45277	2292621	""	-	""	""
PM561	1237509	EG11408 // EG11407		TU461	""
PM0-45641	3252825	""	+	""	""
PM0-10048	1673890	G6859		TU0-8532	""
PM0-46009	4308667	""	-	""	""
PM0-2222	141263	EG10369		TU0-2042	""
PM0-8042	3581111	G7758		TU0-7662	""
PM0-44532	579805	""	+	""	""
PM0-9840		G6102		TU0-8544	""
PM0-44896	1436984	""	-	""	""
PM00376	1801346	EG10506		TU0-3304	""
PM0-45262	2263836	""	+	""	""
PM446	739421	EG10736		TU365	""
PM0-45625	3236365	""	+	""	""
PM0-10030	1335827	EG11325		TU0-14625	""
PM0-45993	4278466	""	+	""	""
PM0-1962	1257882	EG11404		TU0-1782	""
PM0-7781	1291405	EG11319		TU0-7441	""
PM0-44516	557025	""	-	""	""
PM0-9818		G6120 // G6121 // G0-10432 // G6122		TU0-14535	""
PM0-44880	1420449	""	-	""	""
PM00360	1079210	EG10802		TU122	""
PM0-45247	2230493	""	+	""	""
PM343	4042121	EG11828 // EG11829		TU263	""
PM0-45609	3199801	""	-	""	""
PM0-10011	1018459	EG12855		TU0-8677	""
PM0-45977	4200511	""	+	""	""
PM0-1621	3683498	EG20044		TU0-1461	""
PM0-7502	3808238	EG11423 // EG11426 // EG11425 // EG11353 // EG11352 // EG11351 // EG11350 // EG11340 // EG11339 // EG11341		TU0-7161	""
PM0-44500	508264	""	-	""	""
PM0-9799	3471724	EG11036		TU0-14519	""
PM0-44864	1390639	""	-	""	""
PM00343	612687	G0-10437 // EG10299 // EG10264 // EG10297		TU00270	""
PM0-45232	2192901	""	-	""	""
PM326	2060941	G7071	-	TU0-1342	""
PM0-45593	3169688	""	-	""	""
PM-8824	1986775	G7033		TU-8438	""
PM0-45961	4106432	""	+	""	""
PM0-1349	223485	EG30076 // EG30083 // EG30010 // EG30045 // EG30090		TU0-1189	""
PM0-6881	3278866	EG12766 // G7633 // G7632 // G7631		TU0-6581	""
PM0-44484	475245	""	+	""	""
PM0-9778		EG10780		TU0-14499	""
PM0-44848	1339235	""	+	""	""
PM00327	180845	EG10463		TU584	""
PM0-45216	2151076	""	-	""	""
PM202	4640599	EG10061		TU347	""
PM0-45577	3149498	""	-	""	""
PM-8794	2013036	EG11346	-	TU-8408	""
PM0-45945	4069433	""	-	""	""
PM0-1201	4105785	G0-16649 // G7816	+	TU0-1041	""
PM0-5661	500051	EG11101		TU0-5421	""
PM0-44468	399444	""	+	""	""
PM0-9760	1607221	G6806		TU0-13300	""
PM0-44832	1312414	""	-	""	""
PM00308	3058456	EG10944	-	TU00224	""
PM0-45200	2103090	""	-	""	""
PM174	3519167	EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081		TU873	""
PM0-45561	3121321	""	-	""	""
PM-8771	2962507	EG10825		TU-8388	""
PM0-45929	4024809	""	+	""	""
PM0-10557	2907968	EG10258		TU0-14820	""
PM0-5286	3246508	""		""	""
PM0-44452	346435	""	-	""	""
PM0-9740	4207971	EG30074 // EG30081 // EG30034 // EG30088		TU0-14487	""
PM0-44817	1270012	""	-	""	""
PM00285	3911568	EG10782 // EG10784 // EG10734 // EG10734 // EG10735 // EG10783 // EG10782 // EG10784 // EG10734		TU0-14693 // TU0-14692 // TU00202	""
PM0-45184	2059722	""	-	""	""
PM1030	426055	EG11096 // EG10996		TU870	""
PM0-45545	3092884	""	+	""	""
PM0-45913	4004227	""	-	""	""
PM0-10519	4327079	G7823 // EG11210		TU0-14801	""
PM0-5042	3906697	EG10116 // EG10114 // EG10115 // EG10116	-	TU0-42515 // TU0-4802	""
PM0-44438	320215	G6171 // G6173 // G6174	-	TU0-12885	""
PM0-9716	705999	EG10390		TU0-14467	""
PM0-44801	1228683	""	+	""	""
PM00259	2978950	EG10551		TU00186	""
PM0-45168	2033203	""	-	""	""
PM00669	2518253	EG30012 // EG30011		TU00514	""
PM0-45529	3033039	""	+	""	""
PM0-45897	3899464	""	-	""	""
PM0-10479	3168562	G7571 // G7572		TU0-14791	""
PM0-4762	3578862	EG12630		TU0-4522	""
PM0-44423	295656	""	-	""	""
PM0-9690	3081892	EG11291		TU0-14235	""
PM0-44785	1209527	""	+	""	""
PM00233	3050772	EG11810 // EG10371 // EG11442		TU00170	""
PM0-45152	1983560	""	-	""	""
PM00653	2466308	EG30016		TU00500	""
PM0-45513	2991879	G7472	+	TU0-13763	""
PM0-45881	3836744	""	+	""	""
PM0-46370	1996893	EG10935	-	TU0-42622	""
PM0-10457	2691340	G0-8910		TU0-14775	""
PM0-44407	275315	""	+	""	""
PM0-9640	3790149	EG11266		TU0-13999	""
PM00210	2850627	EG10301 // EG10487 // EG10486 // EG10485 // EG10484 // EG10483 // EG10483 // EG10484 // EG10485 // EG10486 // EG10487		TU0-8344 // TU00154	""
PM0-45136	1950778	""	+	""	""
PM00637	2710087	G7347 // G7348 // EG12341 // EG11897		TU00342	""
PM0-45497	2985624	""	-	""	""
PM0-45865	3793834	""	-	""	""
PM0-46353	3696443	EG12265 // EG12264 // EG12263	+	TU0-13972	""
PM0-10431	4275418	EG11938		TU0-8609	""
PM0-44391	234784	""	+	""	""
PM0-9604	3700272	G0-9041		TU0-8846	""
PM00185	3737470	EG11316		TU00137	""
PM0-44756	1175399	""	+	""	""
PM0-45120	1922084	""	+	""	""
PM00621	3492449	EG10757		TU00466	""
PM0-45484	2943207	""	+	""	""
PM0-45849	3751905	""	-	""	""
PM0-46334	951154	EG10028	-	TU0-13083	""
PM0-10377	652039	G6339 // G6340 // G6341 // G6342 // G6343 // G6344		TU0-14750	""
PM0-44375	192812	""	+	""	""
PM0-9579	2035780	G7055		TU0-13466	""
PM00163	4436629	EG10160		TU00120	""
PM0-44740	1146761	""	+	""	""
PM0-45104	1907086	""	-	""	""
PM00604	2003817	EG10841 // EG11388 // EG11389	+	TU00274	""
PM0-45468	2892572	""	+	""	""
PM0-45833	3716513	""	-	""	""
PM0-10354	4392736	G0-10642		TU0-14738	""
PM0-46321	4366951	EG11225	-	TU0-42567	""
PM0-4436	3867544	EG11712		TU0-6003	""
PM0-9554	3486025	EG10164		TU0-14396	""
PM00143	754958	EG10933 // EG10934 // EG10931 // EG10932 // EG10979 // EG10980 // EG10981 // EG10982		TU00524	""
PM0-44724	1105225	""	+	""	""
PM0-45088	1876777	""	+	""	""
PM00587	2868782	EG10510 // EG12111		TU00440	""
PM0-45452	2799070	""	+	""	""
PM0-45817	3674757	""	+	""	""
PM0-10286	2243848	EG11375 // EG11290		TU0-13539	""
PM0-46303	3018950	G7498	+	TU0-42558	""
PM0-44345	35440	""	-	""	""
PM0-9516	3455519	EG11263 // G7701		TU0-14376	""
PM0-44708	1051830	""	+	""	""
PM00128	3957912	EG10495		TU00090	""
PM0-45072	1844886	""	-	""	""
PM00570	3601003	EG10897		TU00426	""
PM0-45436	2758660	""	-	""	""
PM0-45801	3619003	""	+	""	""
PM0-10251	3659084	EG12241 // EG12240		TU0-13964	""
PM0-46254	192814	EG10335		TU0-42525	""
PM0-4428	1889807	G0-9384 // EG11530		TU0-4187	""
PM0-9400	1929732	EG11806		TU0-13436	""
PM0-44692	1023976	""	-	""	""
PM00103	3100751	EG10046		TU00075	""
PM0-45056	1807719	""	+	""	""
PM00554	156224	EG11972 // EG11973		TU00403	""
PM0-45420	2725812	""	-	""	""
PM0-45417	2724033	""	+	""	""
PM0-45782	3602256	""	-	""	""
PM0-10219	3178074	EG11165 // EG11164 // EG11163 // EG11009		TU0-13838	""
PM0-46184	3925674	EG10375 // EG10376	-	TU0-14029	""
PM0-3923	4287391	EG11942 // EG11943 // EG11448		TU0-3723	""
PM0-9361	1144728	EG10859		TU-8407	""
PM0-44673	951228	""	-	""	""
PM00079	2695589	EG10797		TU00057	""
PM0-45037	1758944	""	-	""	""
PM00535	1103859	G6548 // G6547 // EG11489		TU00390	""
PM0-45401	2664244	""	+	""	""
PM0-45766	3556948	""	-	""	""
PM0-10191	4449686	EG10755		TU0-8492	""
PM0-46155	1905459	G6999		TU0-13420	""
PM0-36261	4256457	EG10224		TU0-36442	""
PM0-9300	1718034	G6879 // EG11043 // EG11487		TU0-8864	""
PM0-44657	915077	""	-	""	""
PM00051	4214233	EG10581		TU00041	""
PM0-45021	1725655	""	-	""	""
PM00519	953641	EG10701		TU00381	""
PM0-45385	2629252	""	+	""	""
PM0-45750	3526329	""	-	""	""
PM0-10174	4227602	EG11919		TU0-14107	""
PM0-46120	441468	G6238		TU0-8529	""
PM0-36245	2265330	G0-10511		TU0-14238	""
PM0-8926	1185823	EG11549		TU0-8490	""
PM0-44641	859106	""	-	""	""
PM00033	792086	EG10363 // EG10366 // EG10362 // EG10366 // EG10362 // EG10362 // EG11698 // EG10363 // EG10366 // EG10362	-	TU0-42584 // TU0-42582 // TU0-42580 // TU00026	""
PM0-45005	1678377	""	+	""	""
PM00502	4448294	EG11213		TU0-7061	""
PM0-45369	2550554	""	-	""	""
PM0-45734	3478540	""	-	""	""
PM0-10152	3812703	EG10004		TU0-14356	""
PM0-46102	4600210	""	-	""	""
PM0-36230	853098	G6421 // G6420		TU0-13059	""
PM0-8866	21383	EG11079 // EG10492 // EG10548 // EG11080 // EG11081	+	TU00291	""
PM0-44624	822648	""	-	""	""
PM00014	121671	EG10084		TU00012	""
PM0-44989	1644975	""	-	""	""
PM00485	4122354	EG11881 // EG11676		TU00287	""
PM0-45353	2504493	""	-	""	""
PM0-45718	3413607	""	-	""	""
PM0-10132	3327759	EG12794		TU0-8577	""
PM0-46086	4564793	""	-	""	""
PM0-36211	3343299	EG11680 // G7665		TU0-36433	""
PM0-8749	1289106	EG12121 // EG12120		TU0-8367	""
PM0-4461	2736006	G7352		TU0-4221	""
PM0-9997	866537	G6432 // G6431 // G6430 // G6429 // EG12407		TU0-13063	""
PM0-44973	1621304	""	+	""	""
PM00468	3884111	EG10892 // EG10862		TU00340	""
PM0-45337	2455654	""	-	""	""
PM0-45702	3386303	""	-	""	""
PM0-10115	2925321	G7452		TU0-13738	""
PM0-46070	4511644	""	-	""	""
PM0-36178	3568392	EG10380 // EG10377		TU0-36417	""
PM0-8720	2013093	EG11346		TU0-8340	""
PM0-44593	729379	""	+	""	""
PM0-9981	455122	EG11003		TU0-14614	""
PM0-44957	1568852	""	-	""	""
PM00449	3592426	EG11050 // EG11048 // EG11049 // EG11046 // EG11047	-	TU0-5982	""
PM0-45321	2407414	""	+	""	""
PM923	4201712	EG11918		TU782	""
PM0-45686	3354235	""	+	""	""
PM0-10096	2616026	G7312 // G7311		TU0-14645	""
PM0-46054	4479664	""	+	""	""
PM0-36132	2629031	G7314		TU0-8738	""
PM0-8621	1948185	EG10925 // EG11137		TU0-8241	""
PM0-44577	676560	""	+	""	""
PM0-9965	194901	G6092		TU0-14609	""
PM0-44941	1518892	""	+	""	""
PM00433	3210646	EG10920 // EG10920 // EG10239 // EG10896		TU00472 // TU00352	""
PM0-45305	2381581	""	+	""	""
PM683	1348944	EG11620		TU583	""
PM0-45670	3301329	""	+	""	""
PM0-10078	2176432	EG12414 // EG12415 // EG12416 // EG12417 // G7128		TU0-14638	""
PM0-46038	4437671	""	+	""	""
PM0-3303	511573	G6262 // G6261		TU0-3123	""
PM0-8525	3719431	EG12624		TU0-8145	""
PM0-44561	662401	""	-	""	""
PM0-9884	84188	EG10531		TU0-12807	""
PM0-44925	1502345	""	+	""	""
PM00415	2685797	EG10456		TU681	""
PM0-45289	2344284	""	-	""	""
PM603	1741379	EG11531		TU503	""
PM0-45654	3287365	""	+	""	""
PM0-10061	1866765	G6970 // G6969		TU0-14632	""
PM0-46022	4379433	""	-	""	""
PM0-2621	4467275	EG12202		TU0-2441	""
PM0-8202	883508	G6439		TU0-7822	""
PM0-44545	633517	""	-	""	""
PM0-9856	2494433	G7234 // G7235 // G7236 // G7237 // G7238		TU0-7746	""
PM0-44909	1490761	""	+	""	""
PM00389	1995406	EG11063 // EG11140		TU0-6686	""
PM0-45274	2282437	""	+	""	""
PM525	883649	G6440		TU423	""
PM0-45638	3252700	""	+	""	""
PM0-10045	1628326	G6814		TU0-13311	""
PM0-46006	4301236	""	-	""	""
PM0-2181	1007672	G6488 // G6489		TU0-2001	""
PM0-7983	533907	G6283 // G6282 // G6281 // G6280 // G6278 // G6277 // EG11583		TU0-7603	""
PM0-44529	572314	""	+	""	""
PM0-9836		G7938		TU0-14206	""
PM0-44893	1428926	""	-	""	""
PM00373	1757383	EG10544		TU0-6509	""
PM0-45259	2257496	""	-	""	""
PM442	961165	EG10900 // EG11265		TU361	""
PM0-45622	3234341	""	-	""	""
PM0-10027	1289177	EG12119		TU0-13183	""
PM0-45990	4260159	""	+	""	""
PM0-1881	1671327	G6855		TU0-1701	""
PM0-7701	1824984	G6938		TU0-7361	""
PM0-44513	556967	""	-	""	""
PM0-9814		EG12093 // EG11773		TU0-14531	""
PM0-44877	1417815	""	-	""	""
PM00357	1020187	EG10669		TU0-4742	""
PM0-45244	2225679	""	-	""	""
PM340	2248560	EG11337	-	TU0-6404	""
PM0-45606	3196926	""	-	""	""
PM0-10008	983023	G6475 // G6474		TU0-13091	""
PM0-45974	4196719	""	+	""	""
PM0-1562	4046652	EG11833		TU0-1402	""
PM0-7361	913845	G6456 // G6457		TU0-7021	""
PM0-44497	504855	""	-	""	""
PM0-9795	2000410	G7039	-	TU0-14515	""
PM0-44861	1370003	""	+	""	""
PM00340	495075	EG10461		TU00401	""
PM0-45229	2188472	""	-	""	""
PM321	4442261	EG11433		TU241	""
PM0-45590	3169291	""	-	""	""
PM-8819	3455634	EG11263 // G7701		TU-8433	""
PM0-45958	4102784	""	+	""	""
PM0-1346	4207863	EG30074 // EG30081 // EG30034 // EG30088	+	TU0-1186	""
PM0-6484	2942696	G0-8867		TU0-6184	""
PM0-44481	453684	""	-	""	""
PM0-9773		G7721		TU0-14308	""
PM0-44845	1330790	""	-	""	""
PM00324	122034	EG11088 // EG10024 // EG10025 // EG10543		TU00522	""
PM0-45213	2147644	""	+	""	""
PM196	4640512	EG10061		TU345	""
PM0-45574	3146753	""	-	""	""
PM-8786	2289176	EG12051		TU-8401	""
PM0-45942	4064479	""	-	""	""
PM0-1164	1832039	G6940 // G6941 // G6942 // G6943 // G6944		TU0-1004	""
PM0-5561	2460511	G7212 // G7213		TU0-5321	""
PM0-44465	394461	""	+	""	""
PM0-9757		G7313		TU0-13646	""
PM0-44829	1307359	""	-	""	""
PM00305	4354805	EG10553		TU00221	""
PM0-45197	2098475	""	-	""	""
PM171	1908792	G7002		TU0-2447	""
PM0-45558	3119320	""	-	""	""
PM-8767	2616068	G7312 // G7311		TU-8384	""
PM0-45926	4021909	EG11479 // G7808 // G7806 // EG11481 // EG11479 // G7808 // G7806		TU0-42519 // TU0-14052	""
PM0-10551	3072648	EG10282 // EG10703 // EG10703		TU0-14816 // TU0-14814	""
PM0-5261	3244857	EG12734 // G81		TU0-5021	""
PM0-4445	3247643	G7610 // G7609		TU0-4205	""
PM0-9732	3529110	G7744 // G7743		TU0-14479	""
PM0-44814	1256111	""	-	""	""
PM00280	4287671	EG11781 // EG11945 // EG11946 // EG11947 // EG11948 // EG11949 // EG11950	+	TU00199	""
PM0-45181	2056754	""	+	""	""
PM1026	1084938	EG11734		TU866	""
PM0-45542	3089588	""	+	""	""
PM0-45910	3994083	""	-	""	""
PM0-10514	3836198	EG30092		TU0-14007	""
PM0-5	3101640	EG12705		TU0-4	""
PM0-44435	318484	""	-	""	""
PM0-9712	1746202	G6894		TU0-8709	""
PM0-44798	1218940	""	+	""	""
PM00256	3599762	EG10539		TU00183	""
PM0-45165	2028410	""	-	""	""
PM00666	1287665	EG11016 // EG30108 // EG30106		TU00511	""
PM0-45526	3024260	""	+	""	""
PM0-45894	3896657	""	+	""	""
PM0-10472	1978577	EG10319 // EG10320		TU0-14785	""
PM0-4742	4313137	EG11957 // EG11958 // EG11959 // EG12458 // G7821		TU0-4502	""
PM0-44420	295660	""	-	""	""
PM0-9687	3350577	G0-8871		TU0-8517	""
PM0-44782	1203006	""	+	""	""
PM00229	1311054	EG11012		TU00167	""
PM0-45149	1979619	""	+	""	""
PM00650	2059845	EG30021		TU00498	""
PM0-45510	2990383	""	-	""	""
PM0-45878	3836768	""	+	""	""
PM0-46367	2966121	EG12128 // EG11002 // EG12128	-	TU0-42614 // TU00295	""
PM0-10451	313285	G0-10654		TU0-14769	""
PM0-44404	263818	""	-	""	""
PM0-9630	1923207	G0-8883	-	TU0-13431	""
PM00207	4518282	EG10292 // EG10291		TU00460	""
PM0-44769	1197661	""	-	""	""
PM0-45133	1945366	""	-	""	""
PM00634	2533507	EG10788 // EG10789 // EG10165		TU00481	""
PM0-45494	2973939	""	-	""	""
PM0-45862	3783681	""	-	""	""
PM0-46350	2741824	EG11152 // EG12880 // G7354	+	TU0-13679	""
PM0-10411	3308086	EG10215 // G0-10651		TU0-14763	""
PM0-44388	234025	""	-	""	""
PM0-9600	3986432	G0-8873		TU0-8518	""
PM00179	4016391	EG11045		TU00134	""
PM0-44753	1169019	G6570		TU0-41673	""
PM0-45117	1921753	""	+	""	""
PM00618	3492335	EG10757		TU00463	""
PM0-45481	2941721	""	-	""	""
PM0-45846	3751962	""	-	""	""
PM0-46331	2913700	EG10835	-	TU0-42589	""
PM0-10371	3384470	EG10576		TU0-14745	""
PM0-44372	177786	""	-	""	""
PM0-9575	2908702	EG10258		TU0-14413	""
PM00157	329421	EG10112		TU00116	""
PM0-44737	1126604	""	+	""	""
PM0-45101	1894933	""	-	""	""
PM00601	3090275	EG11336		TU00453	""
PM0-45465	2874028	""	-	""	""
PM0-45830	3716486	""	-	""	""
PM0-10350	246615	G6110 // G6109		TU0-12849	""
PM0-46318	2278277	EG12042	-	TU0-13553	""
PM0-44357	144965	""	+	""	""
PM0-9549	179214	EG10225		TU0-14393	""
PM0-44721	1097824	""	+	""	""
PM0-45085	1875463	""	+	""	""
PM00584	519949	G6269 // EG11542		TU0-6623	""
PM0-45449	2795471	""	+	""	""
PM0-45814	3672045	""	-	""	""
PM0-10280	3056851	G0-8886		TU0-14717	""
PM0-46300	1447492	G7961	+	TU0-8795	""
PM0-44342	15436	""	+	""	""
PM0-9513	3455527	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702		TU0-14373	""
PM0-44705	1051373	""	-	""	""
PM00124	4267082	EG11040		TU00087	""
PM0-45069	1841438	""	+	""	""
PM00567	3192012	EG11381		TU00279	""
PM0-45433	2754767	""	+	""	""
PM0-45798	3619178	""	+	""	""
PM0-10247	711939	EG11775		TU0-8265	""
PM0-46218	2518407	EG11432 // EG11431		TU0-42504	""
PM0-4423	3793970	EG11424 // EG11189 // EG12210 // EG10838		TU0-4183	""
PM0-9395	1031443	EG11113		TU0-13105	""
PM0-44689	1015503	""	+	""	""
PM00100	3997907	EG11064		TU00071	""
PM0-45053	1806217	""	-	""	""
PM00551	1330789	EG11013		TU0-2505	""
PM00097	1386692	EG11042		TU00068	""
PM0-45050	1792827	""	-	""	""
PM00548	1330883	EG11013		TU0-2502	""
PM0-45414	2715344	""	-	""	""
PM0-45779	3597828	""	+	""	""
PM0-10209	149630	EG11746 // EG11675		TU00313	""
PM0-46179	84304	EG10531	+	TU0-42477	""
PM0-3843		EG12663 // EG12662 // EG12661 // G0-9383 // G6359		TU0-42594	""
PM0-9342	2832307	EG12108		TU0-14258	""
PM0-44670	949547	""	+	""	""
PM00072	417101	EG10728 // EG10733		TU00053	""
PM0-45034	1755167	""	-	""	""
PM00532	1343369	EG10679		TU00389	""
PM0-45398	2656917	""	-	""	""
PM0-45763	3543147	""	+	""	""
PM0-10188	4425025	EG10905 // EG10764 // EG10917 // EG10870		TU00346	""
PM0-46141	2819198	EG11447		TU0-42458	""
PM0-36257	4278321	EG11939		TU0-14123	""
PM0-9260	1437121	G0-8901		TU0-8824	""
PM0-44654	906898	""	-	""	""
PM00048	4246736	EG10558 // EG10528 // EG10559		TU00123	""
PM0-45018	1720849	""	-	""	""
PM00516	2477821	EG10250 // EG10249		TU00148	""
PM0-45382	2595938	""	-	""	""
PM0-45747	3526186	""	-	""	""
PM0-10169	4075548	EG11853 // EG11852 // EG11851 // EG11850		TU0-14070	""
PM0-46115	4640358	""	+	""	""
PM0-36242	1877657	G6980		TU0-8714	""
PM0-8917	3545596	G7748		TU0-8481	""
PM0-44638	853083	""	+	""	""
PM00030	4382412	EG10333 // EG10332 // EG10331 // EG10330	-	TU00023	""
PM0-45002	1671953	""	+	""	""
PM00499	4274080	EG10976		TU0-6563	""
PM0-45366	2526909	""	+	""	""
PM0-45731	3466749	""	-	""	""
PM0-10149	3739674	EG10107		TU0-13984	""
PM0-46099	4595947	G7944	-	TU0-14211	""
PM0-36228	515823	G6265 // G6264		TU0-12956	""
PM0-8860	3540057	EG12933 // EG12101 // EG12102		TU00269	""
PM0-44621	808035	""	-	""	""
PM00011	785591	EG10079		TU00009	""
PM0-44986	1641690	""	+	""	""
PM00482	3997971	EG11064		TU0-7043	""
PM0-45350	2494494	""	+	""	""
PM0-45715	3403446	""	+	""	""
PM0-10129	3239863	EG12732		TU0-13860	""
PM0-46083	4563635	""	-	""	""
PM0-36209	3342010	EG11680 // G7665 // G7664 // G7663		TU0-36431	""
PM0-8743	159151	EG11374 // EG10690		TU0-8361	""
PM0-44607	784858	""	-	""	""
PM0-9994	674993	EG12851		TU0-8560	""
PM0-44970	1614788	""	+	""	""
PM00465	3883882	EG10828 // EG10242 // EG10235		TU593	""
PM0-45334	2455821	""	-	""	""
PM982	4338042	EG11966		TU821	""
PM0-45699	3385406	""	+	""	""
PM0-10112	2908018	EG10258		TU0-14653	""
PM0-46067	4503882	""	+	""	""
PM0-36161	2214840	EG12008		TU0-13527	""
PM0-8710	2041346	G7061		TU0-8330	""
PM0-44590	721894	""	-	""	""
PM0-9978	444658	G6240		TU0-8555	""
PM0-44954	1555742	""	-	""	""
PM00446	3490851	EG10682		TU0-6554	""
PM0-45318	2388539	""	+	""	""
PM881	3613628	EG11519 // EG12075 // EG12076 // EG12077 // EG12078 // EG12079		TU00308	""
PM0-45683	3336954	""	-	""	""
PM0-10093	2544664	EG12133		TU0-13623	""
PM0-46051	4479671	""	-	""	""
PM0-3601	3581016	G0-8872		TU0-3401	""
PM0-8601	4012884	EG10584		TU0-8221	""
PM0-44574	676611	""	-	""	""
PM0-9962	164721	EG10605		TU0-12820	""
PM0-44938	1517354	""	+	""	""
PM00428	2959011	EG10786 // EG10824 // EG10826 // EG10786		TU0-13744 // TU0-6683	""
PM0-45302	2373566	""	-	""	""
PM68	3730807	EG11075 // EG11074		TU67	""
PM0-45667	3299012	""	-	""	""
PM0-10075	2085552	EG11895 // EG11894		TU0-13489	""
PM0-46035	4434104	""	+	""	""
PM0-3	2751759	EG10831		TU0-2	""
